"query","date","ranking","brand","name","price","num_reviews","rating"
"cereal","2015-11-28",14,"Quaker","Quaker Cap'n Crunch Original Cereal, 14 oz",2.48,14,4.5
"cereal","2015-11-28",15,"Quaker","Quaker Oatmeal Squares Brown Sugar Cereal, 21 oz",3.98,111,4.7
"cereal","2015-11-28",16,"General Mills","Trix Wildberry Red Swirls Cereal, 22.7 oz",4.48,17,4.4
"cereal","2015-11-28",17,"Cheerios","Cheerios Family Size Gluten Free Cereal, 21 oz",3.98,44,4.7
"cereal","2015-11-28",18,"General Mills","Hershey's Cookies 'n' Creme Cereal, 21.1 oz",3.98,12,4.1
"cereal","2015-11-28",19,"Kellogg's","Kellogg's Rice Krispies Cereal, 24 oz",3.98,60,4.9
"cereal","2015-11-28",20,"Great Value","Great Value Cinnamon Crunch Cereal, 17 Oz",2.5,33,3.3
"cold+cereal","2015-11-28",1,"Cheerios","Honey Nut Cheerios Gluten Free Cereal, 26.6 oz",4.48,203,4.8
"cold+cereal","2015-11-28",2,"Kellogg's","Kellogg's Apple Jacks Cereal, 21.7 oz",3.98,51,4.6
"cold+cereal","2015-11-28",3,"Great Value","Great Value Raisin Bran Cereal, 20 Oz",2.24,72,4.6
"cold+cereal","2015-11-28",4,"Post","Post Shredded Wheat Original Spoon Size Cereal, 16.4 oz",2.48,0,0.0
"cold+cereal","2015-11-28",5,"Cheerios","Cheerios Gluten Free Cereal, 18 oz",3.52,185,4.8
"cold+cereal","2015-11-28",6,"Kellogg's","Kellogg's Froot Loops Cereal, 21.7 oz",3.98,61,4.8
"cold+cereal","2015-11-28",7,"Great Value","Great Value Toasted Whole Grain Oat Cereal, 18 Oz",2.74,41,4.4
"cold+cereal","2015-11-28",8,"Kellogg's","Kellogg's Original Special K Cereal, 18 oz",3.98,123,4.8
"cold+cereal","2015-11-28",9,"Quaker","Quaker 100% Natural Granola with Raisins Cereal, 28 Oz",4.5,60,4.0
"cold+cereal","2015-11-28",10,"Generall Mills","Fiber One Honey Clusters Cereal, 14.25 oz",3.74,25,4.7
"cold+cereal","2015-11-28",11,"Kellogg's","Kellogg's Corn Flakes Cereal, 24 oz",3.68,46,4.7
"cold+cereal","2015-11-28",12,"General Mills","General Mills Raisin Nut Bran Cereal, 17.1 oz",3.74,24,4.8
"cold+cereal","2015-11-28",13,"Generall Mills","Fiber One Original Cereal, 16.2 oz",3.74,49,4.7
"cold+cereal","2015-11-28",14,"Great Value","Great Value Bran Flakes Cereal, 17.3 Oz",2.78,17,4.6
"cold+cereal","2015-11-28",15,"Sunbelt","Sunbelt Fruit & Nut w/Raisins, Dates & Almonds Granola Cereal, 16 oz",2.82,17,4.8
"cold+cereal","2015-11-28",16,"Kellogg's","Kellogg's Rice Krispies Cereal, 24 oz",3.98,60,4.9
"cold+cereal","2015-11-28",17,"Great Value","Great Value Cinnamon Crunch Cereal, 17 Oz",2.5,33,3.3
"cold+cereal","2015-11-28",18,"Kellogg's","Kellogg's Special K Chocolatey Delight Cereal, 16.5 oz",5.76,45,4.9
"cold+cereal","2015-11-28",19,"Great Value","Great Value Toasted Rice Cereal, 12.8 Oz",2.42,16,4.8
"cold+cereal","2015-11-28",20,"Great Value","Great Value Frosted Shredded Wheat Cereal, 24 Oz",2.98,31,4.4
